Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,Prof_Marg,ESG_rank
AAPL,2013-12-31,17.849,20.891,504770.9993,3.4393,13.0787,22.6968,
AAPL,2014-01-31,15.927,33.296,446529.7002,3.0689,13.0787,22.6968,
AAPL,2014-02-28,16.843,31.539,469400.2986,3.2454,13.0787,22.6968,33.766
AAPL,2014-03-31,17.179,13.86,478766.1832,3.4491,14.1139,22.3963,33.766
AAPL,2014-04-30,18.887,29.325,508292.3033,3.7919,14.1139,22.3963,38.961
AAPL,2014-05-30,20.373,28.142,545254.1613,4.0904,14.1139,22.3963,42.857
AAPL,2014-06-30,20.937,14.583,560336.9536,4.1473,25.6656,20.6989,41.667
AAPL,2014-07-31,21.538,18.078,572440.1031,4.2665,25.6656,20.6989,41.667
AAPL,2014-08-29,23.208,15.158,613756.3867,4.5971,25.6656,20.6989,41.667
AAPL,2014-09-30,22.811,24.076,603277.6191,4.7985,31.6414,20.1007,42.254
AAPL,2014-10-31,24.453,23.69,633402.7031,5.1438,31.6414,20.1007,41.667
AAPL,2014-11-28,27.044,14.649,697505.4026,5.689,31.6414,20.1007,42.466
AAPL,2014-12-31,25.1,24.163,647361.022,4.7433,29.5172,24.1612,43.836
AAPL,2015-01-30,26.642,34.232,682427.4812,5.0346,29.5172,24.1612,42.466
AAPL,2015-02-27,29.327,29.072,748247.1341,5.542,29.5172,24.1612,42.466
AAPL,2015-03-31,28.407,23.387,724773.3995,5.0754,34.0069,23.3908,54.795
AAPL,2015-04-30,28.571,21.61,720992.8776,5.1047,34.0069,23.3908,53.425
AAPL,2015-05-29,29.867,23.711,750546.9604,5.3362,34.0069,23.3908,54.054
AAPL,2015-06-30,28.754,14.441,722577.1608,5.2213,43.2999,21.524,54.054
AAPL,2015-07-31,27.808,23.127,691740.199,5.0496,43.2999,21.524,57.534
AAPL,2015-08-31,25.967,39.735,643038.9517,4.7153,43.2999,21.524,57.534
AAPL,2015-09-30,25.401,40.648,629010.2551,4.749,53.8964,21.5996,54.795
AAPL,2015-10-30,27.519,26.488,666252.061,5.1451,53.8964,21.5996,47.945
AAPL,2015-11-30,27.36,27.87,659561.6638,5.1152,53.8964,21.5996,45.205
AAPL,2015-12-31,24.344,22.839,586859.3468,4.2091,49.0875,24.2,41.667
AAPL,2016-01-29,22.512,38.577,539709.71,3.8924,49.0875,24.2,44.595
AAPL,2016-02-29,22.483,34.91,536105.731,3.8874,49.0875,24.2,44.595
AAPL,2016-03-31,25.343,19.346,604304.102,4.2571,61.2248,20.8003,48.649
AAPL,2016-04-29,21.797,27.59,513453.8012,3.6614,61.2248,20.8003,48.649
AAPL,2016-05-31,23.362,28.698,546975.641,3.9242,61.2248,20.8003,48
AAPL,2016-06-30,22.365,18.764,523641.8113,3.8128,67.1205,18.405,48
AAPL,2016-07-29,24.379,24.793,561529.6316,4.1562,67.1205,18.405,48.052
AAPL,2016-08-31,24.956,23.114,571713.7886,4.2545,67.1205,18.405,47.436
AAPL,2016-09-30,26.591,23.352,609163.4666,4.4255,67.8617,19.2393,46.753
AAPL,2016-10-31,26.706,13.791,605430.8167,4.4447,67.8617,19.2393,47.368
AAPL,2016-11-30,26.129,19.675,589327.2315,4.3487,67.8617,19.2393,70.13
AAPL,2016-12-30,27.382,11.701,617588.4903,4.3479,67.8617,19.2393,70.513
AAPL,2017-01-31,28.689,8.417,638035.9616,4.5555,66.1296,22.8344,67.949
AAPL,2017-02-28,32.527,18.657,718723.52,5.1649,66.1296,22.8344,71.739
AAPL,2017-03-31,34.111,11.614,753717.942,5.2975,66.1296,22.8344,72.826
AAPL,2017-04-28,34.109,11.495,753665.4766,5.2972,73.4789,20.8503,68.75
AAPL,2017-05-31,36.421,17.683,796466.1745,5.6563,73.4789,20.8503,66.667
AAPL,2017-06-30,34.338,20.392,750897.2368,5.3621,73.4789,20.8503,65.432
AAPL,2017-07-31,35.461,13.738,775454.4232,5.5374,81.8116,19.1971,65.432
AAPL,2017-08-31,39.255,22.586,847097.392,6.1299,81.8116,19.1971,67.949
AAPL,2017-09-29,36.89,15.889,796064.9394,5.643,81.8116,19.1971,67.949
AAPL,2017-10-31,40.461,19.099,873130.1411,6.1893,86.2981,20.377,67.949
AAPL,2017-11-30,41.282,20.418,882331.5172,6.3148,86.2981,20.377,68.354
