Tick,Date,Close,Vol_1M,Mkt_Cap,P2B,D2E,ESG_rank
AAPL,30/11/2020,118.872,35.693,2024064.528,30.8861,187.144,77.143
AAPL,31/12/2020,132.492,27.8,2255969.107,33.6577,169.1879,77.465
AAPL,29/01/2021,131.763,35.286,2215357.148,33.4725,169.1879,79.87
AAPL,26/02/2021,121.26,30.731,2035724.521,30.8044,169.1879,79.87
ABC,28/02/2014,60.5308,18.252,15551.2985,6.2069,80.958,30.6452
ABC,31/03/2014,58.5146,14.026,15033.3039,6.2051,65.1101,30.6452
ABC,30/04/2014,58.1488,19.368,14939.3314,6.1664,65.1101,33.3333
ABC,30/05/2014,65.5146,16.449,16526.9642,6.9475,65.1101,34.8485
ABC,30/06/2014,65.0491,8.8,16409.5275,7.3449,100.4595,34.3284
ABC,31/07/2014,68.8539,11.745,17369.3471,7.7746,100.4595,34.3284
ABC,29/08/2014,69.4981,14.363,17364.8949,7.8473,100.4595,34.3284
ABC,30/09/2014,69.4173,9.103,17344.7006,7.8718,101.9793,33.8235
ABC,31/10/2014,76.7003,23.819,19164.4357,8.6977,101.9793,33.8235
ABC,28/11/2014,82.0333,20.991,19911.8942,9.3024,101.9793,33.8235
ABC,31/12/2014,81.2315,13.785,19717.2585,10.0757,150.9543,32.3529
ABC,30/01/2015,85.6372,14.238,20927.7457,10.6222,150.9543,30.4348
ABC,27/02/2015,92.8564,11.968,22566.6094,11.5177,150.9543,30.4348
ABC,31/03/2015,102.7149,14.773,24962.4999,11.8519,209.0913,31.8841
ABC,30/04/2015,103.2842,13.745,25100.851,11.9176,209.0913,30.8824
ABC,29/05/2015,101.9706,12.224,24727.8052,11.766,209.0913,31.3433
ABC,30/06/2015,96.3358,12.529,23361.3611,13.2382,238.0105,33.3333
ABC,31/07/2015,95.8013,22.23,23231.7466,13.1647,238.0105,34.7826
ABC,31/08/2015,90.881,25.421,21628.8599,12.4886,238.0105,34.7826
ABC,30/09/2015,86.2933,25.336,20537.0392,28.9646,566.6981,34.7826
ABC,30/10/2015,87.6742,22.269,20865.6664,29.4281,566.6981,27.5362
ABC,30/11/2015,89.9204,17.656,20283.6342,30.182,566.6981,24.2857
ABC,31/12/2015,94.5422,10.171,21326.1932,15.004,391.8621,23.6111
ABC,29/01/2016,81.643,23.391,18504.7815,12.9569,391.8621,24.6575
ABC,29/02/2016,79.271,22.593,17797.1586,12.5805,391.8621,26.0274
ABC,31/03/2016,79.2069,18.652,19510.5327,8.0973,204.8292,23.2877
ABC,29/04/2016,77.8799,22.57,19183.6665,7.9616,204.8292,24.3243
ABC,31/05/2016,68.9304,30.798,16184.7893,7.0467,204.8292,25
ABC,30/06/2016,72.9202,19.599,17121.5989,8.3286,234.5116,25.6757
ABC,29/07/2016,78.3166,19.594,18388.6663,8.945,234.5116,27.027
ABC,31/08/2016,80.2598,19.099,20689.4233,9.1669,234.5116,28.5714
ABC,30/09/2016,74.5474,18.814,19216.8749,7.7037,196.6138,30
ABC,31/10/2016,64.8945,44.095,16728.5299,6.7061,196.6138,31.25
ABC,30/11/2016,72.3074,65.376,17165.6149,7.4722,196.6138,31.3253
ABC,30/12/2016,72.4928,20.968,17013.4465,7.4318,196.6138,31.7073
ABC,31/01/2017,80.9205,32.289,18964.1717,8.2958,211.6439,24.3902
ABC,28/02/2017,85.1832,20.878,19883.2648,8.7328,211.6439,27.8481
ABC,31/03/2017,82.3813,15.295,19229.2529,7.1107,176.1538,26.5823
ABC,28/04/2017,76.3773,19.518,17827.7989,6.5925,176.1538,23.6842
ABC,31/05/2017,85.7882,21.304,20038.5402,7.4048,176.1538,37.037
ABC,30/06/2017,88.3683,15.696,20641.2037,7.5801,148.2628,37.8049
ABC,31/07/2017,87.7045,18.784,20486.1709,7.5231,148.2628,38.5542
ABC,31/08/2017,75.3628,37.345,17583.7031,6.4645,148.2628,37.3494
ABC,29/09/2017,77.7105,23.6,18131.482,8.2057,148.2628,36.9048
ABC,31/10/2017,72.2638,28.235,16860.6349,7.6306,166.729,26.8293
ABC,30/11/2017,80.0332,31.023,18497.7196,8.451,166.729,24.7191
ABC,29/12/2017,86.6381,23.386,20024.2939,6.5855,166.729,26.3736
ABC,31/01/2018,94.0451,20.335,21778.5658,7.1485,161.3215,49.4624
ABC,28/02/2018,90.1406,42.303,20903.7107,6.8517,161.3215,49.4624
ABC,30/03/2018,81.6627,32.656,18937.6723,5.6297,161.3215,49.4624
ABC,30/04/2018,85.8022,34.702,19897.6263,5.915,145.4668,50
ABC,31/05/2018,78.1484,34.526,18054.7062,5.3874,145.4668,45.1613
ABC,29/06/2018,81.1263,30.248,18742.693,5.6801,145.4668,45.7447
ABC,31/07/2018,77.8535,18.813,17986.567,5.451,145.4656,46.3158
ABC,31/08/2018,85.9742,19.714,19465.6073,6.0195,145.4656,47.9167
ABC,28/09/2018,88.1243,20.401,19952.4097,6.4067,145.4656,48
ABC,31/10/2018,84.0917,30.67,19039.3847,6.1135,152.8703,47
ABC,30/11/2018,85.3346,37.85,18840.8875,6.2039,152.8703,42.5743
ABC,31/12/2018,71.4161,27.631,15767.8519,4.9437,147.6541,38.6139
ABC,31/01/2019,80.0264,31.277,17598.5644,5.5397,147.6541,37.6238
ABC,28/02/2019,80.3309,28.73,17583.7881,5.5608,147.6541,34.3137
ABC,29/03/2019,76.6856,24.304,16785.8683,5.5172,147.6541,34.8214
ABC,30/04/2019,72.0953,33.824,15781.0804,5.1869,152.81,38.1356
ABC,31/05/2019,75.4739,29.057,16364.3774,5.43,152.81,37.9032
ABC,28/06/2019,82.6471,22.907,17919.6868,5.761,152.81,47.619
ABC,31/07/2019,84.4792,22.277,18316.9213,5.8887,145.0203,42.9752
ABC,30/08/2019,80.1215,37.335,17138.939,5.5849,145.0203,44.4444
